"Country or Area","Year","Value","Value Footnotes"
"Afghanistan","2019","2190",""
"Albania","2019","14450",""
"Algeria","2019","11720",""
"Angola","2019","6380",""
"Antigua and Barbuda","2019","21780",""
"Arab World","2019","15133.9954366146",""
"Argentina","2019","22120",""
"Armenia","2019","14500",""
"Australia","2019","51680",""
"Austria","2019","60700",""
"Azerbaijan","2019","14390",""
"Bahrain","2019","44250",""
"Bangladesh","2019","5200",""
"Barbados","2019","15770",""
"Belarus","2019","19510",""
"Belgium","2019","56960",""
"Belize","2019","6700",""
"Benin","2019","3400",""
"Bermuda","2019","86460",""
"Bhutan","2019","11230",""
"Bolivia","2019","8930",""
"Bosnia and Herzegovina","2019","16280",""
"Botswana","2019","17140",""
"Brazil","2019","14890",""
"Brunei","2019","66590",""
"Bulgaria","2019","24900",""
"Burkina Faso","2019","2180",""
"Burundi","2019","790",""
"C̫te d'Ivoire","2019","5300",""
"Cabo Verde","2019","7330",""
"Cambodia","2019","4320",""
"Cameroon","2019","3730",""
"Canada","2019","51130",""
"Caribbean small states","2019","16047.2600816694",""
"Central African Republic","2019","1060",""
"Central Europe and the Baltics","2019","33997.7403402599",""
"Chad","2019","1620",""
"Chile","2019","25920",""
"China","2019","16760",""
"Colombia","2019","15510",""
"Comoros","2019","3210",""
"Congo","2019","2980",""
"Costa Rica","2019","20470",""
"Croatia","2019","30680",""
"Cura̤ao","2019","26670",""
"Cyprus","2019","39830",""
"Czech Republic","2019","41560",""
"Dem. Rep. Congo","2019","1110",""
"Denmark","2019","63970",""
"Djibouti","2019","5620",""
"Dominica","2019","12250",""
"Dominican Republic","2019","18300",""
"Early-demographic dividend","2019","9607.05188520594",""
"East Asia & Pacific","2019","18500.4832093194",""
"East Asia & Pacific (excluding high income)","2019","14959.7476669561",""
"East Asia & Pacific (IDA & IBRD)","2019","15116.8200462066",""
"Ecuador","2019","11540",""
"Egypt","2019","11840",""
"El Salvador","2019","8720",""
"Equatorial Guinea","2019","14640",""
"Estonia","2019","39070",""
"Eswatini","2019","8090",""
"Ethiopia","2019","2310",""
"Euro area","2019","50941.6365793492",""
"Europe & Central Asia","2019","37527.707269327",""
"Europe & Central Asia (excluding high income)","2019","22457.2812936803",""
"Europe & Central Asia (IDA & IBRD)","2019","23900.4045593716",""
"European Union","2019","47852.7055009098",""
"Fiji","2019","13120",""
"Finland","2019","53420",""
"Fragile and conflict affected situations","2019","4870.85524523463",""
"France","2019","52050",""
"Gabon","2019","14350",""
"Georgia","2019","15260",""
"Germany","2019","59120",""
"Ghana","2019","5530",""
"Greece","2019","31540",""
"Grenada","2019","16080",""
"Guatemala","2019","8870",""
"Guinea","2019","2650",""
"Guinea-Bissau","2019","2230",""
"Guyana","2019","13540",""
"Haiti","2019","3040",""
"Heavily indebted poor countries (HIPC)","2019","2599.08364596277",""
"High income","2019","53065.5165672787",""
"Honduras","2019","5530",""
"Hong Kong SAR, China","2019","65730",""
"Hungary","2019","34020",""
"IBRD only","2019","13830.2396286671",""
"Iceland","2019","61370",""
"IDA & IBRD total","2019","11268.1052018712",""
"IDA blend","2019","4957.10807938243",""
"IDA only","2019","3436.82060712391",""
"IDA total","2019","3936.77216810413",""
"India","2019","6920",""
"Indonesia","2019","11970",""
"Iran","2019","12950",""
"Iraq","2019","11310",""
"Ireland","2019","71260",""
"Israel","2019","42690",""
"Italy","2019","46110",""
"Jamaica","2019","9940",""
"Japan","2019","45180",""
"Jordan","2019","10520",""
